Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
154.055664,2270.309402,0.019000,19
133.149902,2324.885244,0.003000,3
113.710449,2034.806297,0.004000,4
97.185059,1751.588312,0.003000,3
84.576172,1565.366268,0.003000,3
73.454590,1365.898329,0.012000,12
67.184570,1317.194449,0.003000,3
60.189453,1328.634029,0.004000,4
53.556641,1140.196987,0.003000,3
49.585938,1095.487732,0.003000,3
47.087402,1162.554373,0.004000,4
44.222656,1140.771713,0.004000,4
42.130859,1137.078579,0.003000,3
39.624023,1128.539306,0.005000,5
38.708008,1171.945014,0.003000,3
36.803711,1092.762252,0.002000,2
35.705078,1133.843685,0.002000,2
34.169434,1077.258890,0.003000,3
31.206543,1009.491031,0.006000,6
31.916504,1051.583360,0.003000,3
31.916504,1051.583360,0.003000,3
String tested,Total calculation time(milis)
Hello,114
