Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
285.691406,3825.885239,0.003000,3
248.975586,3534.297256,0.003000,3
215.046387,2849.011032,0.003000,3
188.865234,2461.323635,0.004000,4
165.396484,1995.318386,0.003000,3
147.938477,1793.350707,0.005000,5
132.004395,1675.358867,0.003000,3
118.848633,1578.593299,0.005000,5
107.098633,1460.674842,0.004000,4
96.781738,1281.811249,0.004000,4
88.511230,1210.761593,0.003000,3
83.619629,1192.088228,0.005000,5
77.963867,1146.878577,0.003000,3
73.377930,1158.269279,0.004000,4
68.994141,1097.620083,0.003000,3
65.915039,1120.028914,0.004000,4
62.508301,1130.873955,0.003000,3
58.182129,1041.243685,0.003000,3
55.428711,1054.862105,0.003000,3
53.211914,1050.252944,0.004000,4
51.800293,1106.745762,0.004000,4
48.728516,1042.135281,0.004000,4
47.171875,1095.218506,0.003000,3
44.755371,1019.567598,0.003000,3
42.750000,1003.257812,0.004000,4
41.672852,1003.632232,0.003000,3
41.594238,1066.893463,0.003000,3
40.125488,1010.697632,0.004000,4
38.164551,1031.035911,0.004000,4
38.335449,1087.197532,0.004000,4
37.282227,1054.973083,0.003000,3
36.647949,1034.394127,0.004000,4
35.595215,1004.286833,0.004000,4
35.391113,1055.115097,0.004000,4
33.420410,1010.870619,0.003000,3
32.180176,1014.711189,0.004000,4
31.285645,994.518505,0.003000,3
32.020508,1062.704658,0.003000,3
30.421387,1071.356125,0.004000,4
30.574219,1124.677109,0.004000,4
28.871094,1058.226547,0.003000,3
29.034668,1056.517841,0.003000,3
27.647949,1068.677330,0.003000,3
26.968750,1006.501953,0.003000,3
27.465820,1049.614066,0.003000,3
27.995605,1058.465313,0.004000,4
26.083008,983.563422,0.004000,4
26.083008,983.563422,0.004000,4
String tested,Total calculation time(milis)
HqOhgBcoiM,218
