Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
270.205078,3535.091732,0.006000,6
227.653320,2551.703055,0.004000,4
193.524902,2064.999380,0.003000,3
165.817383,1703.696143,0.006000,6
142.272949,1432.994346,0.005000,5
123.609375,1312.693115,0.004000,4
107.698242,1169.085700,0.006000,6
96.131836,1182.634963,0.004000,4
85.214844,1062.990952,0.004000,4
73.794922,927.021420,0.005000,5
65.691895,924.700481,0.005000,5
59.437500,847.213867,0.005000,5
54.933105,867.731365,0.004000,4
49.410156,835.833725,0.004000,4
45.665039,855.689559,0.003000,3
41.799805,829.148398,0.005000,5
39.127930,898.987540,0.006000,6
36.282227,819.459411,0.004000,4
33.429688,782.444275,0.004000,4
31.156250,798.842773,0.004000,4
29.615723,791.769811,0.004000,4
28.921387,830.170089,0.005000,5
27.395996,835.394457,0.004000,4
26.925781,832.957382,0.005000,5
26.196289,836.904830,0.004000,4
24.159180,797.227592,0.004000,4
24.526855,895.442638,0.005000,5
22.215820,826.999320,0.004000,4
22.708008,907.348334,0.004000,4
21.810059,854.157770,0.003000,3
21.810059,854.157770,0.003000,3
String tested,Total calculation time(milis)
IjCeByNpm,185
