Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
297.983887,3383.158432,0.005000,5
264.750488,2985.528076,0.004000,4
234.806641,2729.788784,0.004000,4
209.282227,2339.500426,0.004000,4
186.019531,1925.529892,0.004000,4
169.069824,1849.276863,0.003000,3
152.684082,1619.912403,0.003000,3
141.016113,1577.546127,0.004000,4
128.128418,1487.098255,0.003000,3
119.228027,1387.899664,0.004000,4
110.263184,1399.096262,0.003000,3
101.356445,1371.819236,0.003000,3
93.013184,1306.400705,0.003000,3
86.864746,1244.345476,0.003000,3
80.718750,1170.085938,0.004000,4
75.765137,1274.163101,0.003000,3
69.408203,1188.428097,0.004000,4
62.342773,1053.972350,0.003000,3
59.160645,1058.630932,0.004000,4
56.104004,1041.113695,0.004000,4
53.979492,1098.911689,0.003000,3
49.690918,1011.226246,0.003000,3
47.277832,1025.517048,0.003000,3
45.741211,1038.247481,0.003000,3
42.638184,995.165476,0.003000,3
41.274414,955.173720,0.004000,4
40.288574,979.301002,0.004000,4
39.883301,1052.763237,0.003000,3
37.278320,982.569022,0.003000,3
37.081055,989.906516,0.004000,4
36.095703,1000.126583,0.003000,3
35.676758,1013.881843,0.004000,4
34.411621,944.524416,0.003000,3
34.537109,987.173428,0.004000,4
32.561523,967.497191,0.004000,4
31.752441,958.753656,0.003000,3
31.640137,925.261612,0.003000,3
31.685059,923.916925,0.004000,4
30.861816,978.995065,0.004000,4
31.925781,1022.964218,0.004000,4
30.193359,1008.063198,0.004000,4
30.888184,983.435251,0.004000,4
29.710449,968.308250,0.004000,4
29.234375,968.429443,0.004000,4
28.879395,888.151958,0.005000,5
30.941895,1058.777385,0.003000,3
28.298828,918.798397,0.004000,4
28.510742,966.762580,0.004000,4
28.228027,982.140875,0.005000,5
27.900879,916.733827,0.004000,4
27.641113,939.907821,0.004000,4
27.583984,934.449978,0.004000,4
28.106934,907.395303,0.004000,4
27.810059,975.755426,0.003000,3
27.647461,966.943099,0.005000,5
25.675781,900.935898,0.004000,4
25.848145,923.668834,0.003000,3
26.922852,1002.885650,0.003000,3
27.363281,977.459824,0.003000,3
25.759766,947.379787,0.004000,4
26.617676,984.105293,0.005000,5
27.528320,1035.550956,0.004000,4
27.688477,1059.229125,0.004000,4
26.319336,1001.943923,0.004000,4
25.900391,995.388515,0.003000,3
24.838379,907.156008,0.004000,4
25.919922,1000.820736,0.003000,3
25.418457,966.606632,0.004000,4
25.328613,959.796798,0.004000,4
25.174805,924.993857,0.004000,4
24.258789,986.925216,0.004000,4
24.427734,938.023098,0.003000,3
24.371094,970.555649,0.003000,3
24.080078,908.907650,0.003000,3
24.029785,911.102140,0.003000,3
23.377441,890.137323,0.003000,3
24.364258,977.480597,0.003000,3
23.857910,918.333814,0.004000,4
24.563477,977.258666,0.004000,4
24.246582,921.474842,0.003000,3
23.848145,953.804577,0.003000,3
23.571289,948.611129,0.004000,4
24.836914,979.993911,0.004000,4
24.476074,950.392982,0.004000,4
24.426758,989.169440,0.004000,4
24.369629,978.503511,0.003000,3
23.457031,974.245224,0.004000,4
24.020996,1014.210008,0.003000,3
25.248047,1055.131832,0.004000,4
22.517578,905.544613,0.003000,3
22.166992,887.516059,0.003000,3
22.141113,871.963974,0.003000,3
22.336426,870.292579,0.003000,3
22.071289,892.086715,0.003000,3
22.381836,929.843459,0.003000,3
22.692383,902.895606,0.004000,4
22.940430,945.869498,0.003000,3
22.364258,938.843879,0.004000,4
23.685547,1004.046627,0.003000,3
23.082031,945.316513,0.004000,4
22.047363,881.156448,0.003000,3
23.214844,971.502670,0.004000,4
22.649414,975.063613,0.003000,3
22.707520,932.385647,0.004000,4
24.089355,1032.724926,0.004000,4
23.509766,891.704006,0.004000,4
23.305664,929.307937,0.004000,4
22.984863,961.070572,0.004000,4
22.028320,919.499198,0.005000,5
23.116699,911.171440,0.005000,5
22.546875,931.735107,0.004000,4
23.072754,908.099687,0.004000,4
22.784668,933.142597,0.004000,4
22.890625,940.038818,0.004000,4
23.431641,970.605679,0.004000,4
23.158691,978.276087,0.004000,4
23.835938,953.779724,0.004000,4
24.964844,1041.341537,0.004000,4
24.283203,1027.766476,0.003000,3
23.924316,995.363901,0.004000,4
22.416504,886.940294,0.003000,3
22.948242,932.969001,0.004000,4
23.181641,949.103725,0.003000,3
21.566895,876.260174,0.004000,4
22.430176,908.709968,0.003000,3
22.960449,950.986229,0.003000,3
22.960449,957.832908,0.003000,3
23.653809,969.031030,0.003000,3
22.952148,897.487945,0.004000,4
23.124512,950.694946,0.004000,4
24.047363,1020.581253,0.004000,4
22.947754,924.217485,0.004000,4
23.005371,925.776827,0.003000,3
22.738770,952.435177,0.004000,4
22.340820,899.571342,0.003000,3
23.277832,943.494587,0.003000,3
24.994141,1008.529263,0.004000,4
24.770996,1002.320116,0.002000,2
23.812988,1005.571960,0.003000,3
23.603516,948.736355,0.003000,3
23.467773,1005.085876,0.003000,3
21.995117,926.495093,0.003000,3
22.179688,969.339783,0.003000,3
23.533203,944.775265,0.003000,3
23.521973,1007.169439,0.003000,3
22.776855,901.295421,0.003000,3
23.827637,941.897537,0.003000,3
23.730957,962.305057,0.003000,3
23.744141,1001.152309,0.004000,4
23.577637,989.078933,0.004000,4
23.222168,964.015583,0.003000,3
24.098145,938.867809,0.005000,5
24.650879,997.055361,0.004000,4
23.850098,920.675283,0.004000,4
24.549805,960.471152,0.004000,4
23.755859,991.846645,0.002000,2
22.998535,879.643064,0.005000,5
23.314453,904.433346,0.003000,3
23.749023,1015.825683,0.003000,3
22.498047,947.368160,0.004000,4
21.968262,912.058075,0.004000,4
21.766113,883.478988,0.003000,3
22.501465,960.484373,0.004000,4
22.895508,945.130683,0.004000,4
23.956543,986.651920,0.004000,4
23.260254,958.629045,0.004000,4
22.880371,922.710787,0.003000,3
22.831055,955.854270,0.004000,4
22.876953,913.330563,0.004000,4
22.763672,912.726376,0.003000,3
22.456543,909.398502,0.003000,3
23.834961,906.128036,0.003000,3
23.565918,953.346241,0.003000,3
24.051758,961.170173,0.003000,3
23.295410,948.735487,0.003000,3
24.774902,993.013296,0.004000,4
23.378418,926.965687,0.004000,4
23.083008,959.828071,0.004000,4
23.572754,978.186113,0.003000,3
22.884766,953.955471,0.004000,4
23.336914,948.472426,0.003000,3
23.878418,993.988636,0.004000,4
23.722656,943.914291,0.003000,3
23.574707,961.682895,0.004000,4
23.540527,970.131170,0.004000,4
23.595703,963.258419,0.003000,3
22.060547,892.666256,0.004000,4
22.060547,892.666256,0.004000,4
String tested,Total calculation time(milis)
ImDNfLbXCGx,875
