Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
233.831055,2765.029075,0.005000,5
205.587891,2433.542080,0.004000,4
180.987305,2289.074058,0.005000,5
158.355957,2050.343509,0.003000,3
137.775391,1718.515957,0.004000,4
121.460938,1495.896912,0.005000,5
108.174316,1237.783579,0.004000,4
98.795410,1255.790663,0.003000,3
90.187500,1164.119141,0.003000,3
83.272461,1150.062484,0.003000,3
77.398926,1116.023964,0.003000,3
72.473633,1066.317664,0.004000,4
67.400391,1032.466640,0.004000,4
63.885742,994.846320,0.004000,4
60.716797,1044.655148,0.003000,3
57.722656,976.146713,0.003000,3
55.219238,1037.403595,0.004000,4
51.292480,941.818264,0.003000,3
48.134766,907.482815,0.004000,4
47.017578,973.722347,0.003000,3
44.888672,1013.510067,0.004000,4
42.702637,953.989212,0.004000,4
41.186035,976.834043,0.004000,4
39.429199,936.792839,0.003000,3
38.219727,916.409728,0.003000,3
37.886719,978.644394,0.004000,4
37.442383,919.949805,0.003000,3
37.274414,960.177627,0.004000,4
35.896973,966.273077,0.004000,4
35.484375,1007.338623,0.005000,5
34.526367,960.029578,0.003000,3
34.679199,1016.875114,0.005000,5
33.053711,955.258834,0.007000,7
33.810547,993.907467,0.004000,4
31.616211,960.662276,0.005000,5
30.266113,964.082992,0.003000,3
30.206543,954.885563,0.004000,4
30.775879,978.424867,0.004000,4
29.729004,1012.607713,0.003000,3
30.457520,1077.668117,0.004000,4
30.457520,1077.668117,0.004000,4
String tested,Total calculation time(milis)
TBJalImUZ,197
