Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
424.707520,5247.268459,0.003000,3
367.460449,3723.722069,0.003000,3
320.979004,3050.222704,0.004000,4
283.018555,2355.571921,0.004000,4
251.363770,2114.268551,0.003000,3
223.830078,1816.292416,0.003000,3
199.779297,1723.634884,0.003000,3
178.525391,1608.888027,0.003000,3
158.785645,1411.504345,0.003000,3
140.937500,1249.824219,0.004000,4
125.814941,1111.245538,0.003000,3
114.942871,1166.941561,0.003000,3
103.225098,1060.925405,0.003000,3
92.710449,977.216453,0.004000,4
84.642090,974.064771,0.004000,4
77.415527,974.903997,0.004000,4
71.033691,912.954431,0.004000,4
64.632324,821.010811,0.004000,4
60.384766,878.565823,0.004000,4
55.834961,805.591903,0.004000,4
53.375977,866.968993,0.003000,3
49.972656,841.972885,0.004000,4
47.628418,884.297962,0.005000,5
45.999023,898.302733,0.003000,3
42.221680,835.759452,0.005000,5
40.520020,899.560146,0.005000,5
37.779785,882.642423,0.005000,5
36.518066,901.284830,0.003000,3
34.589844,887.212631,0.004000,4
31.285156,794.669662,0.004000,4
31.824707,923.803745,0.004000,4
28.932129,818.108186,0.003000,3
29.054688,910.424744,0.003000,3
25.829102,833.262786,0.004000,4
27.104004,918.831468,0.003000,3
24.806641,864.784878,0.004000,4
24.354492,839.537421,0.004000,4
23.246094,852.784164,0.003000,3
23.292969,858.774521,0.003000,3
22.765625,838.341553,0.003000,3
23.393555,864.124412,0.003000,3
21.654297,842.952755,0.004000,4
21.616211,812.379073,0.003000,3
20.667480,812.259060,0.003000,3
20.460938,846.447693,0.004000,4
20.460938,846.447693,0.004000,4
String tested,Total calculation time(milis)
VAZnUHwSMoaBxFl,249
