Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
424.707520,5247.268459,0.004000,4
381.499512,4601.118164,0.003000,3
342.016113,4262.627182,0.004000,4
304.978027,3744.065435,0.004000,4
271.339355,3269.285717,0.004000,4
241.661133,2871.277747,0.003000,3
217.472168,2504.492389,0.004000,4
197.130859,2281.960415,0.004000,4
178.167969,1898.576279,0.004000,4
165.836426,1817.480568,0.005000,5
154.203125,1607.940186,0.004000,4
142.685547,1595.053463,0.005000,5
131.571289,1431.842574,0.004000,4
121.358887,1349.966415,0.004000,4
114.336914,1404.698012,0.003000,3
106.108887,1363.439804,0.003000,3
98.978516,1195.577663,0.003000,3
92.280762,1078.881622,0.004000,4
89.711914,1168.785171,0.003000,3
85.266113,1178.207992,0.003000,3
80.798340,1132.058454,0.004000,4
76.351074,1144.947548,0.004000,4
72.906250,1097.813477,0.003000,3
69.403320,1000.088309,0.004000,4
66.813477,1088.490600,0.003000,3
64.379883,1088.564673,0.003000,3
61.682129,1059.803743,0.003000,3
58.603516,1085.645535,0.003000,3
56.958008,1061.585151,0.003000,3
54.288574,1074.133034,0.003000,3
52.783203,1106.393429,0.003000,3
49.700684,1015.931406,0.004000,4
48.695312,1031.551697,0.003000,3
45.408203,949.573605,0.003000,3
43.770996,1006.111131,0.003000,3
42.626953,974.093258,0.003000,3
42.359863,973.078018,0.004000,4
41.888184,1046.783884,0.003000,3
41.866699,1134.888969,0.003000,3
40.298828,1097.765194,0.003000,3
39.086914,1066.945571,0.003000,3
38.319824,1054.325935,0.003000,3
36.947754,1013.041704,0.003000,3
36.558594,995.511215,0.004000,4
36.630371,1013.871675,0.004000,4
35.779785,988.185392,0.003000,3
34.772949,1058.882530,0.004000,4
33.749023,1024.567870,0.004000,4
33.839355,968.139721,0.002000,2
33.186035,960.377012,0.004000,4
32.765137,988.344742,0.003000,3
32.940918,969.224537,0.004000,4
33.508301,1032.071220,0.004000,4
32.358887,1002.982040,0.004000,4
30.766113,977.575668,0.003000,3
30.835449,1032.831810,0.003000,3
29.385742,965.017219,0.004000,4
30.925781,1010.738632,0.003000,3
30.277344,963.097885,0.004000,4
29.330566,1012.419534,0.004000,4
29.903320,1045.797294,0.003000,3
31.187500,1121.157227,0.003000,3
30.326660,1104.043195,0.003000,3
29.256348,1047.421102,0.005000,5
28.622559,1049.604120,0.004000,4
28.114258,1032.700812,0.004000,4
