Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
315.402832,3979.857746,0.004000,4
269.266113,2991.332992,0.004000,4
232.210938,2399.695740,0.004000,4
200.896973,2074.786749,0.005000,5
174.813477,1757.624389,0.004000,4
151.606934,1539.842081,0.016000,16
132.887695,1387.485435,0.003000,3
118.175293,1336.531284,0.004000,4
104.179688,1251.616150,0.005000,5
91.066406,1078.990707,0.005000,5
80.369141,981.751431,0.005000,5
72.318848,950.690817,0.005000,5
66.793457,961.286930,0.004000,4
60.156250,953.346680,0.004000,4
55.000000,876.924805,0.004000,4
50.741699,923.150566,0.004000,4
47.796875,961.216553,0.004000,4
43.224121,828.467836,0.005000,5
40.658203,912.302120,0.004000,4
38.317383,873.068213,0.005000,5
35.183105,861.029461,0.004000,4
34.770508,908.497138,0.004000,4
32.565430,884.837516,0.004000,4
31.480957,839.276005,0.003000,3
31.229492,973.417060,0.003000,3
29.396973,898.992315,0.004000,4
27.895508,876.564277,0.005000,5
26.847168,877.332599,0.003000,3
28.033691,1000.509119,0.003000,3
25.625488,876.616089,0.004000,4
25.410645,943.063305,0.005000,5
25.354492,953.073554,0.005000,5
23.256348,854.806844,0.004000,4
24.324707,949.600132,0.018000,18
23.274902,926.782339,0.004000,4
23.592285,977.466093,0.003000,3
21.698730,892.332577,0.004000,4
22.742676,989.225288,0.004000,4
21.836914,936.795669,0.005000,5
21.836914,936.795669,0.005000,5
String tested,Total calculation time(milis)
WYoCRnrbkQe,257
