Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
295.107422,173.718929,0.006000,6
288.603516,355.667019,0.004000,4
276.855469,619.604111,0.004000,4
259.736328,894.461727,0.004000,4
239.584961,1060.716414,0.004000,4
221.630859,1317.555141,0.004000,4
202.519531,1490.819931,0.004000,4
183.701172,1597.922421,0.004000,4
167.392578,1646.033382,0.005000,5
151.508789,1727.948165,0.003000,3
151.508789,1727.948165,0.003000,3
String tested,Total calculation time(milis)
World!,50
