Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
392.480469,249.706650,0.006000,6
383.037109,497.025967,0.005000,5
367.705078,795.416927,0.005000,5
347.763672,1065.799618,0.005000,5
327.451172,1266.355038,0.005000,5
305.654297,1508.360958,0.004000,4
282.958984,1680.013943,0.005000,5
261.508789,1803.729415,0.005000,5
240.434570,1946.539664,0.004000,4
222.646484,2013.699245,0.004000,4
202.299805,2269.662070,0.004000,4
184.077148,2210.281157,0.004000,4
165.849609,2369.981289,0.005000,5
165.849609,2369.981289,0.005000,5
String tested,Total calculation time(milis)
XEqtBpbJ,73
