Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
343.833008,200.200629,0.015000,15
335.732422,405.518246,0.004000,4
323.281250,638.354492,0.004000,4
305.903320,875.551200,0.004000,4
286.069336,1114.774489,0.004000,4
266.943359,1352.961636,0.004000,4
246.669922,1533.051205,0.015000,15
226.674805,1609.695029,0.003000,3
207.714844,1763.625717,0.004000,4
188.183594,1913.888168,0.004000,4
170.786133,2045.915198,0.004000,4
152.216797,2022.331905,0.004000,4
136.240234,1955.200100,0.004000,4
136.240234,1955.200100,0.004000,4
String tested,Total calculation time(milis)
cUlqThj,86
