Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
208.411133,2855.902259,0.005000,5
169.603027,2035.665167,0.004000,4
142.425781,1648.953476,0.004000,4
121.305176,1490.626106,0.004000,4
102.187500,1214.201172,0.004000,4
89.006836,1160.048781,0.007000,7
75.115234,995.900784,0.004000,4
67.800781,1060.234726,0.004000,4
60.892578,1084.991390,0.003000,3
52.823242,1042.750007,0.004000,4
45.671875,919.284912,0.004000,4
41.005371,930.433077,0.003000,3
38.301758,969.654059,0.003000,3
35.066895,965.977459,0.004000,4
30.921875,915.082764,0.005000,5
29.784668,949.450214,0.003000,3
27.697266,971.417141,0.003000,3
26.933594,955.595200,0.003000,3
24.493164,885.641555,0.004000,4
23.149902,893.689932,0.004000,4
22.871094,914.720688,0.004000,4
21.762207,899.633396,0.003000,3
21.762207,899.633396,0.003000,3
String tested,Total calculation time(milis)
cUlqThj,122
