Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
294.995117,172.265601,0.004000,4
288.701172,350.266171,0.005000,5
276.933594,620.870590,0.003000,3
259.384766,855.187893,0.004000,4
240.415039,1013.060164,0.003000,3
222.553711,1184.250045,0.005000,5
205.717773,1347.141051,0.004000,4
188.164062,1399.266052,0.015000,15
172.412109,1451.603603,0.003000,3
157.177734,1574.749660,0.003000,3
143.251953,1688.057613,0.004000,4
130.517578,1619.068050,0.004000,4
120.444336,1750.632644,0.004000,4
120.444336,1750.632644,0.004000,4
String tested,Total calculation time(milis)
dipFbt,72
