Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.006836,446.705031,0.007000,7
666.533203,776.164913,0.006000,6
645.966797,1137.541866,0.008000,8
620.947266,1355.743313,0.007000,7
594.589844,1664.480209,0.006000,6
565.175781,1977.215195,0.006000,6
535.341797,2246.465206,0.006000,6
505.795898,2527.198577,0.007000,7
475.200195,2396.834922,0.006000,6
446.762695,2684.881186,0.007000,7
417.519531,2821.874619,0.005000,5
387.495117,2845.336890,0.006000,6
358.999023,3100.609374,0.005000,5
331.958008,3029.808784,0.005000,5
304.536133,2937.870765,0.006000,6
279.316406,3106.661606,0.006000,6
256.010742,3122.708869,0.004000,4
231.469727,3157.068419,0.004000,4
212.080078,3152.020931,0.006000,6
192.153320,3165.431571,0.005000,5
173.212891,3168.095303,0.005000,5
173.212891,3168.095303,0.005000,5
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,145
