Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
438.150879,5852.797060,0.004000,4
388.791016,5205.741482,0.004000,4
343.991211,4663.647384,0.004000,4
305.339355,3771.750561,0.004000,4
273.466309,3311.366052,0.004000,4
247.921875,2900.702881,0.004000,4
224.275879,2676.636293,0.004000,4
205.139648,2429.802764,0.004000,4
187.916504,2276.995470,0.004000,4
173.567383,2348.501319,0.003000,3
156.720215,2111.905607,0.003000,3
142.672852,1914.166411,0.004000,4
130.232910,1795.665968,0.003000,3
119.473145,1533.014904,0.003000,3
111.425781,1463.760117,0.003000,3
103.965820,1562.078910,0.003000,3
95.292969,1357.479599,0.004000,4
87.639160,1294.092939,0.003000,3
82.951172,1333.810116,0.003000,3
77.954590,1297.770887,0.004000,4
73.867188,1263.098572,0.003000,3
70.562500,1345.754883,0.003000,3
66.131836,1325.978713,0.004000,4
61.287598,1195.104299,0.003000,3
57.806152,1213.928732,0.003000,3
55.416992,1164.671821,0.003000,3
53.162109,1234.462002,0.003000,3
49.653320,1177.321219,0.003000,3
48.178223,1246.788061,0.003000,3
46.134766,1163.692776,0.003000,3
45.893555,1322.099021,0.003000,3
41.871582,1079.879505,0.004000,4
41.821777,1146.618139,0.003000,3
39.571777,1148.689184,0.003000,3
37.421387,1127.179367,0.003000,3
36.214844,1103.920639,0.003000,3
36.285645,1133.666942,0.004000,4
35.919922,1165.521908,0.004000,4
34.983887,1184.305893,0.003000,3
34.139160,1148.424482,0.003000,3
33.679199,1228.846794,0.003000,3
33.085449,1137.106468,0.003000,3
32.249512,1132.758545,0.004000,4
31.570312,1108.460876,0.003000,3
31.883789,1122.199386,0.003000,3
31.695312,1147.219666,0.004000,4
29.649414,1101.897597,0.004000,4
30.033691,1144.209314,0.003000,3
29.835938,1135.057068,0.004000,4
29.310059,1096.483454,0.003000,3
28.543945,1128.480491,0.004000,4
28.305176,1087.606575,0.003000,3
28.477539,1107.493636,0.003000,3
28.477539,1107.493636,0.003000,3
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,245
