Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.594727,291.681457,0.006000,6
479.023438,504.612732,0.005000,5
463.608398,848.161101,0.007000,7
441.914062,1139.891052,0.005000,5
419.804688,1383.555603,0.017000,17
396.132812,1638.658142,0.007000,7
370.317383,1885.690284,0.005000,5
347.036133,1998.979163,0.005000,5
323.798828,2143.674374,0.006000,6
299.086914,2288.472915,0.004000,4
276.943359,2360.383511,0.006000,6
255.131836,2597.638869,0.007000,7
231.269531,2694.189072,0.005000,5
208.652344,2772.890854,0.004000,4
185.532227,2597.763610,0.005000,5
166.713867,2604.484534,0.004000,4
149.448242,2393.787360,0.006000,6
149.448242,2393.787360,0.006000,6
String tested,Total calculation time(milis)
kBcpJtaHSO,122
