Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
278.201172,3424.848202,0.017000,17
241.660156,2939.711655,0.003000,3
212.427734,2444.353176,0.004000,4
187.828613,2102.449630,0.004000,4
166.911621,1802.547365,0.004000,4
149.978027,1660.964849,0.004000,4
133.612793,1466.690403,0.013000,13
122.281250,1404.387695,0.005000,5
111.351562,1252.115662,0.004000,4
102.722656,1339.462143,0.004000,4
94.367188,1243.774353,0.004000,4
87.296387,1243.772018,0.004000,4
79.584473,1209.675482,0.003000,3
73.829102,1167.233489,0.004000,4
68.808105,1088.146282,0.004000,4
65.776367,1174.419715,0.004000,4
60.834473,1103.273870,0.004000,4
55.612305,955.481528,0.005000,5
53.237793,1012.201755,0.004000,4
50.796875,1025.354248,0.004000,4
49.065430,1037.754508,0.004000,4
45.873535,955.724729,0.003000,3
44.951660,1037.324323,0.004000,4
42.780762,946.019806,0.004000,4
41.027344,981.635971,0.004000,4
39.890625,945.190186,0.005000,5
39.884766,1016.012112,0.005000,5
38.723633,998.085731,0.004000,4
36.732422,977.798519,0.005000,5
37.044922,1019.929623,0.004000,4
36.369141,1067.385220,0.005000,5
35.353027,988.076055,0.003000,3
34.114746,950.289079,0.004000,4
33.998535,976.937010,0.005000,5
32.855957,971.011966,0.004000,4
32.278320,1005.629569,0.005000,5
31.279785,919.569669,0.004000,4
32.589355,976.258617,0.005000,5
31.829590,1018.840589,0.003000,3
32.321289,1082.235641,0.004000,4
30.709961,1011.287948,0.003000,3
31.389160,1056.707441,0.005000,5
30.034668,1038.932880,0.004000,4
29.128906,1012.992172,0.005000,5
28.674805,988.994834,0.003000,3
29.651367,1067.024940,0.004000,4
27.986328,978.414852,0.003000,3
27.717285,972.254545,0.005000,5
27.012695,1000.469565,0.004000,4
26.461426,885.647926,0.004000,4
27.208984,983.571560,0.003000,3
27.056641,983.513393,0.005000,5
27.047363,930.427933,0.003000,3
27.528320,1009.135917,0.004000,4
27.407227,1005.609557,0.010000,10
25.561523,950.458129,0.003000,3
26.283691,970.125086,0.004000,4
26.583008,1009.186469,0.004000,4
27.122070,1002.650138,0.003000,3
25.137207,919.689670,0.003000,3
26.106934,994.280069,0.004000,4
26.949219,1069.710312,0.003000,3
28.131348,1121.654135,0.004000,4
26.809082,1061.110523,0.003000,3
26.297852,1067.988433,0.003000,3
25.685547,1021.969479,0.004000,4
26.041992,1039.516791,0.003000,3
26.523926,1062.696693,0.017000,17
25.867676,1005.077705,0.003000,3
25.733887,953.911117,0.004000,4
24.692383,1032.937598,0.003000,3
24.655273,972.721984,0.005000,5
24.589355,984.022289,0.004000,4
24.682617,967.520362,0.005000,5
25.015625,996.600342,0.003000,3
24.427734,954.275051,0.004000,4
25.007324,1035.274849,0.003000,3
24.431152,917.769674,0.004000,4
25.041016,948.415310,0.004000,4
24.763672,978.748837,0.004000,4
24.457031,992.356552,0.003000,3
24.627930,964.386954,0.003000,3
25.968750,1030.281250,0.004000,4
25.636719,988.820175,0.004000,4
25.592773,993.212096,0.003000,3
26.048340,1060.531355,0.004000,4
25.223145,977.952648,0.004000,4
25.471680,1033.471854,0.004000,4
26.356445,1023.602439,0.004000,4
24.491699,973.175712,0.004000,4
23.861328,944.515926,0.003000,3
24.620605,937.922954,0.004000,4
24.845215,989.619108,0.004000,4
24.665527,989.824163,0.003000,3
24.291016,1030.333279,0.004000,4
25.346680,1023.162040,0.005000,5
24.674805,961.513389,0.005000,5
24.357910,956.875318,0.013000,13
25.222168,1041.394489,0.005000,5
25.222168,1041.394489,0.005000,5
String tested,Total calculation time(milis)
kBcpJtaHSO,556
