Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
296.666992,3586.853950,0.005000,5
266.248047,3405.711910,0.004000,4
238.526367,2804.734656,0.004000,4
213.871094,2635.297836,0.004000,4
192.942383,2456.122657,0.006000,6
173.166992,2309.633246,0.003000,3
153.770508,2146.645576,0.003000,3
138.951172,2012.357967,0.004000,4
123.879883,1682.647681,0.002000,2
112.717285,1674.277006,0.002000,2
101.984863,1474.409439,0.003000,3
94.904297,1444.381466,0.004000,4
86.962891,1359.519131,0.003000,3
80.934570,1332.970328,0.003000,3
75.660156,1190.274155,0.003000,3
72.052734,1182.216946,0.003000,3
67.583008,1173.957953,0.004000,4
62.652832,1077.166095,0.003000,3
59.391602,1078.761687,0.005000,5
56.763184,1085.395578,0.005000,5
54.286133,1089.378089,0.004000,4
50.709473,1009.774481,0.004000,4
49.554199,1101.643547,0.003000,3
47.270020,1017.386562,0.004000,4
45.459961,1052.961287,0.003000,3
43.352539,986.459701,0.003000,3
43.066895,1081.710857,0.003000,3
41.302734,1056.847805,0.003000,3
38.529297,1011.111446,0.005000,5
38.440430,1071.427115,0.004000,4
37.440918,1085.199634,0.004000,4
36.794922,1072.163021,0.003000,3
34.857910,981.732252,0.004000,4
35.121582,1079.636097,0.004000,4
33.477051,1057.096153,0.004000,4
32.471191,1063.910303,0.004000,4
31.087402,978.947927,0.004000,4
32.355957,1084.892338,0.004000,4
30.790527,1041.704656,0.004000,4
31.442383,1134.147071,0.003000,3
29.717773,1058.643981,0.004000,4
30.387207,1086.472629,0.003000,3
29.370117,1108.692115,0.005000,5
27.956055,995.667991,0.004000,4
28.095703,997.378536,0.004000,4
28.542480,1015.146633,0.004000,4
27.748535,1059.643308,0.004000,4
27.203613,984.061569,0.003000,3
26.319336,987.998610,0.003000,3
26.134277,942.274450,0.004000,4
26.603027,986.168096,0.003000,3
26.785645,1035.485790,0.004000,4
27.220215,987.585783,0.003000,3
27.413574,1025.199562,0.003000,3
27.534180,1095.155082,0.004000,4
25.055664,949.248855,0.004000,4
26.016602,1005.547576,0.003000,3
25.962402,1004.286184,0.003000,3
26.854004,1045.171556,0.004000,4
24.965332,961.748310,0.009000,9
25.973633,1061.867469,0.003000,4
27.062500,1121.099609,0.003000,3
27.517090,1114.439161,0.004000,4
26.642090,1068.159498,0.003000,3
26.372559,1082.035517,0.004000,4
25.816895,1066.980633,0.004000,4
26.078613,1083.334152,0.004000,4
26.389648,1072.481963,0.004000,4
25.754395,1043.133526,0.004000,4
26.254395,1034.123272,0.004000,4
24.719238,1033.398224,0.004000,4
25.029785,998.715421,0.003000,3
24.936035,1043.086241,0.005000,5
25.121582,1036.232776,0.004000,4
24.976074,1016.362221,0.003000,3
24.409180,1035.400931,0.004000,4
24.799805,1057.280234,0.004000,4
24.567383,973.626319,0.004000,4
24.643066,979.600626,0.004000,4
24.497559,995.108392,0.004000,4
23.966309,1035.680017,0.004000,4
24.044434,990.049295,0.004000,4
25.358398,1049.102996,0.004000,4
25.272461,1034.585921,0.004000,4
25.421875,1067.359131,0.004000,4
25.587891,1075.125088,0.003000,3
24.927734,1016.599270,0.003000,3
25.315430,1098.846793,0.003000,3
26.099609,1066.879726,0.004000,4
24.173828,951.128963,0.004000,4
23.774902,989.577749,0.004000,4
24.030273,922.887755,0.004000,4
24.573730,1022.708431,0.003000,3
23.895020,979.983608,0.004000,4
23.781738,1058.707733,0.004000,4
24.886719,1078.139511,0.004000,4
23.998047,1011.220699,0.003000,3
23.279785,965.061857,0.003000,3
24.108887,1034.971054,0.004000,4
24.564941,1026.942072,0.003000,3
23.574219,956.447617,0.003000,3
24.725586,1040.566298,0.004000,4
23.415527,1046.625677,0.004000,4
23.243652,1002.867880,0.004000,4
25.167969,1088.220810,0.004000,4
24.794434,1004.721903,0.004000,4
23.503418,986.429676,0.005000,5
22.886230,975.851803,0.004000,4
22.876465,1002.993040,0.003000,3
23.203125,949.446045,0.004000,4
22.952148,944.832671,0.004000,4
23.618652,975.386312,0.003000,3
23.414062,994.427185,0.004000,4
22.977539,976.151839,0.003000,3
23.827148,1015.023833,0.004000,4
24.212891,1055.502529,0.004000,4
24.980469,1057.452744,0.003000,3
25.844727,1104.013000,0.003000,3
25.368164,1098.106643,0.003000,3
25.044922,1090.051693,0.003000,3
22.929688,941.646423,0.004000,4
23.993652,1036.227987,0.005000,5
23.458984,993.769802,0.005000,5
22.237793,955.286716,0.004000,4
22.257812,947.893494,0.004000,4
23.130371,1005.888765,0.004000,4
23.232910,1024.066358,0.005000,5
23.831543,1020.498478,0.004000,4
23.526367,925.938758,0.004000,4
24.991211,1090.953048,0.004000,4
24.019531,997.901962,0.004000,4
24.420410,1063.075697,0.004000,4
24.259766,1028.123928,0.004000,4
23.073242,977.817878,0.004000,4
22.944336,943.076003,0.004000,4
23.727051,1013.478721,0.004000,4
26.175293,1157.238315,0.005000,5
25.300781,1083.359726,0.004000,4
24.475098,1071.035513,0.004000,4
23.362305,986.473228,0.004000,4
24.159668,1074.465229,0.004000,4
22.116211,946.279464,0.004000,4
22.514648,965.159942,0.004000,4
22.965332,1002.238544,0.005000,5
24.048340,1052.193464,0.003000,3
24.215332,1015.090839,0.005000,5
24.537109,1030.824795,0.004000,4
23.740234,1014.654202,0.004000,4
23.913574,1036.253761,0.004000,4
24.026367,1060.733680,0.004000,4
24.271973,1076.814214,0.004000,4
24.395996,1025.950121,0.004000,4
25.320801,1051.792106,0.004000,4
24.191406,965.057114,0.004000,4
25.773438,1103.474060,0.004000,4
24.231934,1057.137125,0.004000,4
23.872559,1014.202020,0.005000,5
24.149414,999.745254,0.003000,3
24.356445,1064.926658,0.004000,4
23.421387,1043.121750,0.004000,4
22.487305,988.686362,0.004000,4
22.903809,989.952173,0.004000,4
23.211426,1019.400123,0.004000,4
23.774902,1077.629507,0.004000,4
24.729980,1072.888515,0.004000,4
24.938965,1087.886411,0.004000,4
23.518555,1003.064109,0.004000,4
23.568848,1046.664205,0.004000,4
24.336914,1069.877700,0.005000,5
24.583984,1076.234158,0.004000,4
22.664551,946.068626,0.003000,3
24.325195,991.787803,0.004000,4
24.716309,1062.882898,0.005000,5
24.791504,1046.598619,0.004000,4
23.797852,1010.382964,0.004000,4
25.132324,1057.462471,0.004000,4
25.021484,1054.259304,0.004000,4
23.525391,986.614590,0.005000,5
23.453125,1015.062256,0.003000,3
23.497559,1001.874017,0.004000,4
23.833008,970.801215,0.005000,5
24.641113,1064.226181,0.003000,3
25.159180,1102.533256,0.004000,4
25.081543,1091.765323,0.004000,4
24.122559,1046.270624,0.005000,5
24.108398,1029.298797,0.004000,4
23.522949,1020.632286,0.004000,4
22.605957,935.923343,0.005000,5
23.839844,1018.192123,0.004000,4
24.758789,997.977950,0.004000,4
24.468750,1050.811523,0.015000,15
23.563965,980.495908,0.004000,4
23.394043,1023.465336,0.004000,4
23.906250,965.413086,0.004000,4
24.740234,1057.402248,0.004000,4
23.556641,1059.470425,0.004000,4
24.031250,1027.425781,0.003000,3
23.635742,969.738410,0.005000,5
23.688477,1019.969359,0.004000,4
23.083984,1004.538845,0.004000,4
24.009277,1001.879308,0.004000,4
24.067383,986.216163,0.004000,4
23.437012,1030.517517,0.005000,5
24.298340,1006.431989,0.004000,4
24.720215,1084.433927,0.004000,4
25.113281,1095.593613,0.004000,4
25.291504,1094.135240,0.005000,5
24.085938,1044.475037,0.003000,3
24.119141,1057.806118,0.005000,5
24.083984,1055.454861,0.004000,4
24.457031,1083.506943,0.004000,4
23.017090,922.374220,0.004000,4
23.874023,1016.146239,0.004000,4
24.872070,1100.672111,0.004000,4
24.170410,1016.292738,0.004000,4
24.081543,1039.780948,0.003000,3
23.669922,996.892025,0.003000,3
23.810059,1029.884332,0.004000,4
23.860840,1039.345381,0.004000,4
23.946289,1040.552779,0.005000,5
24.619629,1107.371431,0.005000,5
24.221680,1037.305350,0.004000,4
24.868164,1089.381057,0.004000,4
24.576660,1069.918928,0.004000,4
26.030762,1125.722198,0.004000,4
23.947266,1035.010891,0.004000,4
24.959473,1092.613104,0.004000,4
24.564453,1069.409908,0.004000,4
23.930176,1066.060066,0.004000,4
25.671875,1113.731201,0.004000,4
25.178223,1118.229467,0.004000,4
23.213379,1031.526247,0.005000,5
22.629395,985.295757,0.004000,4
23.622559,977.531854,0.004000,4
23.951172,1046.455624,0.005000,5
23.662109,1037.203213,0.004000,4
24.579590,1063.491712,0.004000,4
24.551758,1116.363532,0.004000,4
23.524414,1017.250381,0.003000,3
23.019531,971.812119,0.005000,5
24.648438,1063.135193,0.004000,4
23.944336,1093.589675,0.076000,76
23.637695,1028.741782,0.005000,5
24.336426,1062.918556,0.005000,5
23.371094,1007.925766,0.005000,5
24.051758,1057.163337,0.011000,11
23.299316,1017.434335,0.005000,5
23.958496,1025.222399,0.003000,3
24.179199,1029.051384,0.004000,4
24.872070,1077.726798,0.006000,6
23.382324,1045.648262,0.005000,5
22.848145,975.994030,0.004000,4
24.184570,1026.393668,0.006000,6
23.995605,1059.532696,0.004000,4
23.740723,1028.085607,0.003000,3
23.257324,1015.021187,0.003000,3
23.354492,1041.800117,0.006000,6
23.640137,1021.239151,0.004000,4
24.014648,1023.943145,0.004000,4
23.105469,950.558212,0.003000,3
23.641113,976.840439,0.004000,4
23.659668,1018.907123,0.003000,3
23.659668,1018.907123,0.003000,3
String tested,Total calculation time(milis)
HJbFYeySsu,1429
