Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.946289,295.553756,0.006000,6
477.255859,520.497036,0.006000,6
459.111328,853.311825,0.006000,6
433.901367,1108.851600,0.006000,6
410.068359,1290.132046,0.006000,6
382.407227,1489.566588,0.005000,5
354.038086,1841.848159,0.004000,4
324.755859,1936.268520,0.004000,4
295.170898,2270.771575,0.005000,5
262.900391,2319.908047,0.004000,4
231.767578,2271.875668,0.004000,4
204.184570,2389.081168,0.004000,4
176.528320,2362.215018,0.004000,4
176.528320,2362.215018,0.004000,4
String tested,Total calculation time(milis)
HqOhgBcoiM,85
