Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
331.170898,4562.513762,0.004000,4
294.684082,4092.223926,0.004000,4
261.748535,3666.572996,0.003000,3
230.273926,3389.227211,0.003000,3
203.932617,2872.571631,0.006000,6
181.655273,2617.580382,0.003000,3
160.940918,2247.726490,0.016000,16
145.644531,2012.697861,0.004000,4
133.008301,1936.277763,0.003000,3
120.790039,1786.778182,0.004000,4
111.278320,1630.834647,0.004000,4
103.100586,1657.975234,0.004000,4
94.318359,1511.161343,0.004000,4
86.779297,1398.392696,0.006000,6
80.627930,1272.091056,0.005000,5
76.092773,1327.855651,0.005000,5
70.786133,1279.321448,0.004000,4
64.676270,1081.066585,0.004000,4
61.659180,1178.250052,0.003000,3
58.791016,1211.749294,0.004000,4
55.951660,1186.531355,0.004000,4
52.240234,1150.117092,0.005000,5
50.321777,1182.173315,0.004000,4
47.858398,1094.778777,0.004000,4
45.530762,1117.040069,0.004000,4
43.412109,1068.043056,0.005000,5
43.033691,1122.648767,0.006000,6
41.516113,1093.186264,0.004000,4
38.892578,1064.607601,0.004000,4
38.561523,1091.072387,0.004000,4
37.718750,1153.772461,0.003000,3
36.542969,1104.493271,0.004000,4
34.775879,1019.595766,0.004000,4
34.534180,1032.166800,0.005000,5
33.670410,1081.702406,0.003000,3
32.433105,1105.973064,0.004000,4
31.217285,1015.292143,0.004000,4
31.947266,1058.672024,0.004000,4
31.428223,1128.532934,0.004000,4
31.428223,1128.532934,0.004000,4
String tested,Total calculation time(milis)
WRynAoIrxu,221
