Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.519531,361.620712,0.005000,5
525.600586,628.643203,0.006000,6
507.861328,1012.808895,0.004000,4
484.531250,1256.225586,0.006000,6
462.031250,1382.299805,0.006000,6
439.926758,1689.496589,0.005000,5
416.015625,1919.183350,0.005000,5
391.127930,2189.987540,0.005000,5
363.017578,2621.070004,0.005000,5
335.791016,2835.311794,0.005000,5
306.689453,3184.450436,0.005000,5
277.827148,3283.999419,0.005000,5
247.495117,3124.145484,0.004000,4
221.865234,3000.817776,0.005000,5
200.615234,2888.683987,0.005000,5
180.786133,2957.145667,0.004000,4
180.786133,2957.145667,0.004000,4
String tested,Total calculation time(milis)
ImDNfLbXCGx,94
