Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.631836,360.260940,0.015000,15
525.068359,641.303921,0.007000,7
507.568359,978.657436,0.005000,5
484.038086,1268.410659,0.006000,6
460.595703,1447.203732,0.016000,16
436.083984,1712.203884,0.005000,5
410.834961,1785.875106,0.006000,6
387.880859,1931.446743,0.006000,6
363.027344,2155.776596,0.006000,6
338.481445,2449.402976,0.005000,5
312.539062,2728.514099,0.006000,6
286.127930,2780.954337,0.005000,5
261.708984,2817.489529,0.005000,5
238.051758,2757.288337,0.005000,5
217.119141,2686.524868,0.004000,4
197.832031,2847.155380,0.004000,4
197.832031,2847.155380,0.004000,4
String tested,Total calculation time(milis)
WYoCRnrbkQe,124
