Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
587.670898,364.643645,0.008000,8
574.550781,650.481796,0.006000,6
555.385742,955.026984,0.007000,7
532.294922,1200.202084,0.006000,6
510.004883,1486.474586,0.006000,6
485.507812,1639.976501,0.007000,7
460.419922,1897.284603,0.006000,6
436.313477,2352.083373,0.005000,5
405.498047,2664.791012,0.007000,7
375.317383,2971.090674,0.007000,7
343.833008,2852.837348,0.006000,6
314.638672,2912.955379,0.005000,5
288.251953,2846.846676,0.006000,6
265.014648,3021.288848,0.005000,5
239.326172,2867.221737,0.004000,4
214.306641,2764.265347,0.004000,4
194.077148,2806.667876,0.004000,4
194.077148,2806.667876,0.004000,4
String tested,Total calculation time(milis)
Hello world!,119
