Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
333.405762,4208.067291,0.004000,4
294.326172,3626.618221,0.002000,2
260.532715,3199.861234,0.004000,4
231.299316,2843.255625,0.004000,4
204.862305,2390.963462,0.004000,4
185.071777,2052.195532,0.003000,3
166.669922,1864.559017,0.003000,3
151.874023,1656.878661,0.003000,3
138.036621,1553.984499,0.004000,4
127.463867,1475.114905,0.004000,4
118.215332,1371.020527,0.004000,4
110.426758,1376.325690,0.004000,4
102.538574,1292.455543,0.004000,4
98.015625,1314.430420,0.005000,5
92.058105,1166.688518,0.004000,4
86.833496,1158.337023,0.003000,3
82.064453,1186.993893,0.005000,5
74.891113,1056.553085,0.004000,4
72.166504,1125.117296,0.004000,4
67.974121,1157.617006,0.005000,5
64.472168,1184.443561,0.003000,3
59.332031,1133.342880,0.005000,5
55.705566,1121.173563,0.004000,4
53.688965,1064.683042,0.004000,4
50.841797,1085.830441,0.004000,4
49.945312,1047.813416,0.003000,3
47.774902,995.301382,0.004000,4
47.043945,1089.984397,0.004000,4
44.904297,1090.419552,0.004000,4
44.016602,1098.508513,0.004000,4
42.395508,1104.895331,0.004000,4
41.159668,1091.655658,0.004000,4
39.282715,1024.163725,0.004000,4
38.758301,1017.007499,0.004000,4
36.678711,1061.754195,0.004000,4
35.722656,1008.253159,0.004000,4
35.610352,1043.251494,0.005000,5
35.057617,990.877540,0.004000,4
34.860352,1070.583037,0.004000,4
35.093750,1053.740234,0.003000,3
33.683105,1058.247722,0.005000,5
35.028320,1110.482596,0.004000,4
33.120117,1082.903541,0.004000,4
31.938477,1022.792113,0.005000,5
32.038574,1022.278297,0.004000,4
33.433594,1131.625473,0.004000,4
30.011230,988.387081,0.003000,3
30.166992,1062.403754,0.004000,4
29.993652,1032.850057,0.004000,4
29.616699,1008.114311,0.004000,4
28.475586,1000.386123,0.004000,4
28.536621,1029.616823,0.004000,4
28.104004,974.875414,0.003000,3
27.474121,1005.375307,0.004000,4
27.091309,1017.136682,0.004000,4
25.161133,926.089271,0.004000,4
25.017090,978.708204,0.004000,4
26.603516,1020.993191,0.004000,4
27.074219,1043.777695,0.004000,4
26.065918,999.996143,0.004000,4
26.161133,1038.196692,0.004000,4
27.623047,1129.584469,0.003000,3
28.294434,1125.827860,0.003000,3
26.839355,1053.949291,0.004000,4
26.166504,1053.220812,0.004000,4
25.879883,1061.716041,0.003000,3
26.128906,1076.620102,0.003000,3
26.388672,1090.985653,0.004000,4
26.043457,1022.448795,0.004000,4
25.766113,986.660629,0.004000,4
25.556152,1092.517355,0.004000,4
25.224609,1021.214199,0.004000,4
