Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
378.707031,4528.720810,0.004000,4
331.163574,3775.726661,0.003000,3
293.457031,3177.170029,0.004000,4
261.412109,2840.465908,0.004000,4
233.184082,2544.735157,0.003000,3
210.796875,2321.149170,0.004000,4
187.968262,2068.299286,0.004000,4
170.329102,1797.097747,0.004000,4
154.097656,1561.306870,0.005000,5
143.607422,1593.773617,0.004000,4
131.849609,1426.443203,0.004000,4
122.778809,1472.970117,0.003000,3
113.966797,1412.197140,0.004000,4
105.133301,1326.833305,0.004000,4
97.474121,1177.533510,0.005000,5
91.090332,1253.352680,0.004000,4
85.008301,1168.858818,0.004000,4
78.546387,1044.027145,0.004000,4
75.406250,1048.678711,0.004000,4
71.033203,1063.183468,0.004000,4
67.942871,1092.445467,0.004000,4
63.853516,1051.647488,0.005000,5
60.430176,1028.295906,0.003000,3
58.066406,967.854965,0.004000,4
54.748535,961.466551,0.004000,4
54.629395,995.944195,0.004000,4
52.975586,993.520888,0.005000,5
51.298828,1019.914608,0.004000,4
49.562500,994.601562,0.004000,4
48.319824,1002.753670,0.004000,4
47.784180,1085.954398,0.003000,3
45.363281,944.197128,0.003000,3
45.577148,1003.771392,0.003000,3
43.731934,955.372965,0.003000,3
42.391113,1026.646347,0.003000,3
40.940430,955.259147,0.004000,4
41.408691,1008.617639,0.003000,3
39.991211,970.102462,0.004000,4
39.228516,1007.951687,0.004000,4
39.634277,1063.349157,0.003000,3
37.737305,1043.588218,0.005000,5
37.788086,1041.281264,0.003000,3
36.172363,1029.925857,0.003000,3
35.574707,1028.146763,0.004000,4
34.748535,993.922605,0.003000,3
35.152344,1080.686752,0.003000,3
32.008789,957.990157,0.004000,4
31.933594,1002.112778,0.004000,4
31.430176,982.517586,0.003000,3
30.538574,930.041481,0.003000,3
30.157715,1003.751981,0.004000,4
30.050781,1018.056992,0.003000,3
29.252930,926.395011,0.003000,3
28.991211,960.477462,0.003000,3
28.409180,1034.860892,0.003000,3
26.762207,962.091404,0.003000,3
26.762207,962.091404,0.003000,3
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,271
