Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
407.796875,5702.695068,0.005000,5
356.757812,5010.197205,0.004000,4
312.735840,4273.339887,0.005000,5
275.032715,3681.074613,0.004000,4
242.256348,2952.722860,0.004000,4
219.090820,2663.014213,0.005000,5
197.197754,2436.002397,0.004000,4
177.812012,2125.526672,0.005000,5
160.369141,1962.118618,0.004000,4
147.855957,1887.809818,0.004000,4
135.125000,1677.908203,0.005000,5
125.166992,1610.817817,0.004000,4
115.687988,1556.182434,0.004000,4
107.762207,1489.877537,0.004000,4
101.255859,1454.958950,0.004000,4
94.069824,1454.173347,0.004000,4
87.829102,1323.748137,0.003000,3
81.547852,1171.578765,0.004000,4
78.951172,1232.959530,0.005000,5
74.953613,1253.896774,0.005000,5
72.175781,1275.719101,0.004000,4
67.334473,1237.322210,0.002000,2
62.764648,1203.084258,0.004000,4
59.294922,1099.606380,0.004000,4
55.301758,1093.140388,0.004000,4
55.034180,1166.969535,0.004000,4
52.302734,1121.248196,0.005000,5
50.150879,1181.818544,0.004000,4
48.628418,1158.204212,0.003000,3
47.251465,1163.578855,0.004000,4
46.615723,1274.630163,0.004000,4
43.827148,1130.723052,0.004000,4
43.405762,1166.728424,0.004000,4
41.162598,1094.228933,0.005000,5
38.911133,1136.720618,0.004000,4
37.665039,1100.223739,0.004000,4
38.179199,1113.969352,0.004000,4
37.461914,1118.247573,0.004000,4
36.781738,1144.086639,0.004000,4
37.336914,1184.281997,0.004000,4
36.120117,1268.076392,0.004000,4
35.933594,1174.740707,0.004000,4
34.415527,1148.986028,0.005000,5
33.902344,1161.602768,0.004000,4
33.357910,1088.191725,0.005000,5
34.650879,1222.703798,0.004000,4
31.684570,1097.742301,0.004000,4
32.173828,1167.345760,0.005000,5
31.482422,1100.385433,0.004000,4
31.523926,1082.311928,0.004000,4
31.290527,1163.409246,0.003000,3
30.953125,1135.035889,0.003000,3
30.729492,1080.697333,0.004000,4
30.213379,1086.693239,0.003000,3
30.084473,1196.634954,0.004000,4
28.348633,1095.547400,0.004000,4
27.390625,1085.598389,0.003000,3
28.414551,1110.713402,0.005000,5
28.414551,1110.713402,0.005000,5
String tested,Total calculation time(milis)
fuvsirPdjYDae,307
