Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
369.505371,4549.813448,0.003000,3
330.558105,3640.831585,0.004000,4
298.391113,3110.980331,0.003000,3
270.718262,2510.277557,0.003000,3
246.776367,2383.637488,0.003000,3
225.228027,2070.181890,0.003000,3
206.377441,2040.580683,0.004000,4
187.852539,1872.113997,0.004000,4
170.041016,1756.862576,0.004000,4
155.780273,1732.250548,0.004000,4
141.638184,1565.869577,0.004000,4
130.708496,1477.047350,0.004000,4
120.387695,1364.764731,0.004000,4
111.784668,1237.696308,0.004000,4
105.534668,1279.041767,0.004000,4
98.410645,1256.969555,0.004000,4
91.020020,1050.504970,0.003000,3
85.008301,1006.896904,0.003000,3
81.798828,1043.050350,0.002000,2
77.510742,1007.215705,0.003000,3
74.396484,1073.136745,0.002000,2
70.108398,1053.187469,0.003000,3
66.937500,1076.157227,0.004000,4
62.844238,978.121734,0.004000,4
60.373535,1027.492796,0.004000,4
58.648926,1022.154579,0.003000,3
56.069824,999.154793,0.004000,4
53.965332,1002.622333,0.004000,4
52.474121,1009.083315,0.004000,4
50.947754,991.973345,0.004000,4
50.164062,1079.319763,0.003000,3
47.127441,927.707880,0.003000,3
46.623047,963.652828,0.004000,4
44.555176,982.288948,0.004000,4
41.647461,947.586654,0.004000,4
40.161621,884.107179,0.003000,3
40.671875,974.136475,0.003000,3
39.547852,958.634429,0.004000,4
38.688965,1007.475034,0.003000,3
38.267090,984.054151,0.002000,2
37.133301,1030.268852,0.003000,3
36.511719,995.417831,0.003000,3
35.012207,1004.291355,0.004000,4
33.408691,951.465296,0.003000,3
33.897949,982.392418,0.003000,3
33.318359,1004.290249,0.003000,3
30.498047,873.085934,0.003000,3
31.325195,946.924521,0.003000,3
31.153809,942.082300,0.003000,3
30.772461,901.984359,0.003000,3
30.378418,963.610218,0.004000,4
30.566895,931.680095,0.003000,3
31.130859,996.878384,0.003000,3
29.908691,957.036096,0.003000,3
28.957031,949.105576,0.003000,3
28.169434,899.824320,0.004000,4
27.710938,888.628357,0.003000,3
28.890137,937.098770,0.004000,4
28.796387,925.236374,0.003000,3
27.682617,913.122901,0.004000,4
28.770508,993.806708,0.003000,3
29.797363,1048.995559,0.003000,3
29.476562,1024.745544,0.003000,3
28.340820,983.826224,0.003000,3
27.991211,1069.099532,0.004000,4
27.145020,967.841762,0.004000,4
28.121094,1017.170883,0.004000,4
27.179199,974.368767,0.004000,4
27.242188,902.909119,0.004000,4
26.822754,933.101885,0.004000,4
26.578125,970.672607,0.003000,3
26.160156,938.503647,0.004000,4
27.030273,984.314513,0.004000,4
25.859863,892.742569,0.003000,3
25.656250,913.773438,0.003000,3
26.108887,959.404648,0.004000,4
25.636719,905.215683,0.003000,3
25.660156,909.122787,0.004000,4
25.754395,902.637432,0.003000,3
25.651855,933.506237,0.003000,3
25.750000,921.684570,0.003000,3
27.190918,1051.314625,0.003000,3
26.452148,943.953765,0.003000,3
26.632812,917.802673,0.004000,4
26.541992,984.798041,0.004000,4
