Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.089844,452.370834,0.008000,8
667.114258,738.401008,0.007000,7
645.805664,1116.636062,0.007000,7
620.410156,1367.312241,0.007000,7
596.972656,1651.382065,0.006000,6
571.127930,2005.221915,0.006000,6
540.019531,2438.476181,0.007000,7
507.246094,2820.443344,0.006000,6
471.694336,3040.635085,0.006000,6
439.506836,3281.250930,0.006000,6
405.468750,3271.850586,0.005000,5
372.294922,3231.647396,0.005000,5
342.104492,3507.436347,0.006000,6
313.325195,3464.675498,0.006000,6
285.258789,3256.866622,0.004000,4
259.614258,3405.173469,0.005000,5
235.468750,2912.084961,0.005000,5
213.691406,2989.498520,0.005000,5
195.659180,2861.088920,0.005000,5
178.481445,2917.078757,0.005000,5
160.161133,2858.421302,0.005000,5
160.161133,2858.421302,0.005000,5
String tested,Total calculation time(milis)
RKHAWkLCQDimsb,143
