Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
372.956543,4243.696842,0.005000,5
329.107422,3847.756039,0.003000,3
291.138184,3174.181589,0.004000,4
257.963379,2578.040163,0.003000,3
231.875977,2309.046142,0.003000,3
210.438477,2134.952270,0.003000,3
190.734375,1839.903076,0.003000,3
175.116211,1669.637862,0.003000,3
161.016113,1629.525619,0.003000,3
149.388672,1606.486629,0.003000,3
136.953125,1439.732178,0.004000,4
126.114258,1321.762336,0.003000,3
117.275879,1314.383363,0.003000,3
109.220703,1176.314571,0.004000,4
103.932617,1187.430030,0.003000,3
98.512207,1186.095554,0.004000,4
92.896484,1042.625027,0.004000,4
87.635742,983.670051,0.004000,4
84.998047,1038.910152,0.003000,3
80.698242,1021.798591,0.004000,4
76.477051,996.933067,0.003000,3
72.236328,1018.672665,0.003000,3
68.639648,1061.951201,0.004000,4
64.918457,972.624698,0.003000,3
62.186523,986.011107,0.003000,3
60.288574,992.032448,0.003000,3
57.956055,977.426780,0.003000,3
54.780762,967.541290,0.002000,2
52.963867,997.384437,0.004000,4
51.533691,1031.205896,0.005000,5
49.689453,1079.466061,0.003000,3
46.321777,953.197729,0.004000,4
45.626465,971.995725,0.003000,3
43.532715,989.985258,0.003000,3
40.966309,947.534509,0.003000,3
39.749512,947.414306,0.003000,3
39.809570,968.423697,0.004000,4
39.053223,987.622656,0.004000,4
38.307617,1034.304786,0.003000,3
37.405762,982.458893,0.004000,4
36.875000,1069.715820,0.003000,3
35.749512,966.620361,0.004000,4
34.793457,1011.385563,0.003000,3
33.396484,936.842800,0.004000,4
34.296875,1005.802490,0.003000,3
33.749512,991.340088,0.003000,3
31.867188,984.303650,0.003000,3
31.229004,984.954881,0.003000,3
30.541992,942.518744,0.003000,3
30.455566,942.616190,0.004000,4
29.338379,966.275636,0.004000,4
29.134277,950.047888,0.003000,3
29.082031,997.884872,0.005000,5
27.886719,949.024277,0.004000,4
26.703613,951.296432,0.004000,4
26.161133,936.311927,0.004000,4
25.181641,892.115444,0.004000,4
26.818848,989.279196,0.004000,4
27.170898,987.291106,0.004000,4
25.984375,970.155029,0.003000,3
25.984375,970.155029,0.003000,3
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,278
