Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.587891,436.759853,0.007000,7
668.237305,721.648765,0.007000,7
649.580078,973.944759,0.006000,6
627.177734,1263.226223,0.006000,6
602.822266,1528.948879,0.007000,7
574.418945,1982.474875,0.006000,6
540.263672,2438.700008,0.005000,5
507.495117,2394.262671,0.005000,5
479.575195,2277.505088,0.006000,6
455.595703,2474.352169,0.005000,5
426.752930,2631.985831,0.005000,5
400.410156,2917.605209,0.005000,5
371.318359,3375.215054,0.005000,5
341.835938,3649.168396,0.005000,5
309.833984,3708.370876,0.006000,6
279.238281,3744.244003,0.004000,4
250.708008,3609.117866,0.005000,5
223.847656,3524.160385,0.004000,4
201.816406,3449.630356,0.005000,5
201.816406,3449.630356,0.005000,5
String tested,Total calculation time(milis)
tNqgrmsvaBjKox,123
