Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
143.973633,2345.685828,0.003000,3
114.749023,2092.971190,0.003000,3
89.738281,1568.421738,0.004000,4
72.077148,1362.255767,0.004000,4
58.034180,1292.100394,0.017000,17
46.626953,1008.025875,0.003000,3
39.705566,1020.800516,0.004000,4
33.812012,936.368469,0.004000,4
31.927734,1024.387356,0.003000,3
28.728027,1044.356207,0.005000,5
24.531738,918.285125,0.004000,4
24.531738,918.285125,0.004000,4
String tested,Total calculation time(milis)
phsr,75
