Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
156.348633,2106.216346,0.003000,3
133.996094,2148.182602,0.003000,3
114.930176,1841.521980,0.003000,3
99.519531,1672.503525,0.003000,3
86.239258,1518.929084,0.003000,3
76.052246,1396.195024,0.002000,2
69.085449,1257.832054,0.003000,3
61.375488,1256.780395,0.003000,3
55.541016,1119.169216,0.003000,3
51.541992,1108.092963,0.004000,4
48.300781,1125.773788,0.004000,4
45.043457,1077.215397,0.004000,4
43.348145,1120.794323,0.004000,4
40.675781,1099.868515,0.003000,3
39.479980,1144.388271,0.003000,3
37.156738,1089.303070,0.004000,4
35.454102,1103.110198,0.004000,4
33.965820,1079.030082,0.004000,4
30.437988,962.300842,0.003000,3
31.036133,1007.290687,0.004000,4
30.456543,1024.136783,0.004000,4
30.836914,1082.714614,0.003000,3
28.858887,1059.368271,0.003000,3
28.858887,1059.368271,0.003000,3
String tested,Total calculation time(milis)
EvdVt,104
