Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
246.420898,134.211516,0.004000,4
242.333984,256.661892,0.003000,3
232.729492,511.251044,0.003000,3
218.828125,786.907959,0.004000,4
202.656250,956.518555,0.004000,4
185.830078,1119.721127,0.003000,3
170.048828,1194.431210,0.004000,4
154.111328,1376.749325,0.004000,4
140.537109,1398.734951,0.003000,3
127.607422,1501.599789,0.004000,4
127.607422,1501.599789,0.004000,4
String tested,Total calculation time(milis)
EvdVt,46
