Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
143.739258,1475.083381,0.006000,6
124.359863,1391.382705,0.002000,2
108.352051,1291.708580,0.004000,4
94.424316,1178.697397,0.004000,4
82.783691,1080.966394,0.004000,4
73.000488,997.086426,0.003000,3
65.929199,931.375358,0.003000,3
58.942871,895.171053,0.003000,3
53.907715,865.032011,0.004000,4
48.139160,766.685224,0.004000,4
46.804199,907.482658,0.003000,3
43.543945,853.896506,0.003000,3
40.826172,811.360409,0.004000,4
39.221191,832.639063,0.004000,4
37.646973,851.103399,0.004000,4
36.645508,841.165351,0.003000,3
34.056152,830.348898,0.003000,3
32.991699,830.246513,0.004000,4
30.200195,740.864219,0.003000,3
30.705078,774.576107,0.004000,4
29.954102,806.200042,0.005000,5
29.897949,846.258629,0.004000,4
28.500488,811.687500,0.004000,4
27.440430,817.280631,0.004000,4
27.440430,817.280631,0.004000,4
String tested,Total calculation time(milis)
AIUGFc,114
