Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
295.122070,178.989005,0.005000,5
288.447266,376.788235,0.004000,4
275.625000,653.222656,0.003000,3
258.935547,936.464596,0.003000,3
241.098633,1157.337928,0.004000,4
222.622070,1421.200919,0.003000,3
202.055664,1685.569167,0.004000,4
181.450195,1683.102012,0.004000,4
164.130859,1763.893032,0.004000,4
145.224609,1777.293301,0.004000,4
131.396484,1694.534206,0.004000,4
131.396484,1694.534206,0.004000,4
String tested,Total calculation time(milis)
fdISBp,53
