Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
343.886719,198.858261,0.014000,14
336.059570,421.435905,0.009000,9
322.993164,731.031203,0.004000,4
303.247070,1059.427238,0.006000,6
282.202148,1268.246245,0.004000,4
262.558594,1303.707504,0.015000,15
244.379883,1496.490455,0.004000,4
225.561523,1638.844848,0.004000,4
207.836914,1821.444106,0.004000,4
189.267578,1872.119808,0.005000,5
173.090820,2033.073783,0.004000,4
154.096680,1981.410575,0.005000,5
154.096680,1981.410575,0.005000,5
String tested,Total calculation time(milis)
NYFOgtw,92
