Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
196.414062,2454.696716,0.015000,15
167.971191,2400.726221,0.005000,5
142.313477,2009.669311,0.004000,4
122.082031,1752.485458,0.004000,4
105.912598,1387.004568,0.004000,4
93.449219,1236.482773,0.004000,4
84.128906,1195.707993,0.015000,15
75.236328,1130.273251,0.004000,4
68.742188,1030.129822,0.004000,4
62.783203,971.622921,0.003000,3
59.393555,1037.764060,0.006000,6
54.878906,974.427719,0.004000,4
50.949707,954.034092,0.004000,4
48.547852,1010.141265,0.004000,4
46.118164,976.592483,0.003000,3
44.295410,992.239393,0.004000,4
42.304199,1018.736076,0.005000,5
38.878418,888.466175,0.004000,4
37.063965,898.570616,0.004000,4
37.284668,900.365741,0.003000,3
36.645020,956.392055,0.004000,4
35.677734,945.320950,0.004000,4
34.629883,993.594459,0.004000,4
33.245117,958.348121,0.004000,4
32.004395,898.999492,0.004000,4
31.453613,930.226364,0.004000,4
31.258301,899.794121,0.002000,2
31.835449,959.662864,0.003000,3
29.998047,912.543941,0.004000,4
30.118164,946.414748,0.004000,4
29.918457,958.144230,0.003000,3
30.949219,1070.567734,0.004000,4
28.824707,891.436558,0.004000,4
29.062500,893.453125,0.004000,4
28.639160,967.630049,0.004000,4
26.750488,911.231201,0.006000,6
26.936035,904.791319,0.003000,3
27.341797,955.307980,0.016000,16
27.502930,957.478507,0.003000,3
27.604492,999.505683,0.004000,4
27.604492,999.505683,0.004000,4
String tested,Total calculation time(milis)
prRENBd,241
