Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
236.001953,3198.880856,0.004000,4
203.917480,2861.759304,0.004000,4
175.444336,2397.188308,0.004000,4
151.798340,2043.689314,0.004000,4
133.378418,1849.154163,0.004000,4
116.075684,1625.742807,0.004000,4
101.545410,1456.480360,0.003000,3
90.561523,1371.037230,0.004000,4
81.393066,1170.324503,0.003000,3
74.587402,1209.169119,0.004000,4
69.478027,1214.366705,0.004000,4
64.238770,1145.306759,0.004000,4
59.201172,1114.945858,0.004000,4
55.436523,1122.839721,0.004000,4
51.753418,1075.093006,0.004000,4
49.231445,1074.962058,0.003000,3
45.986816,1051.371408,0.004000,4
43.299805,995.455039,0.004000,4
41.286133,1012.990394,0.003000,3
40.074219,1007.208359,0.004000,4
38.732422,1053.911800,0.004000,4
37.108398,1014.668914,0.003000,3
35.293945,1025.163596,0.004000,4
33.779785,967.122892,0.004000,4
32.790039,968.289901,0.003000,3
32.220703,1016.210079,0.004000,4
32.220703,1016.210079,0.004000,4
String tested,Total calculation time(milis)
XEqtBpbJ,124
