Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
392.480469,249.706650,0.006000,6
382.241211,486.432052,0.004000,4
366.269531,764.501572,0.006000,6
342.846680,1016.847587,0.005000,5
321.313477,1239.729857,0.004000,4
295.463867,1364.823890,0.005000,5
270.761719,1540.826035,0.005000,5
244.555664,1743.845534,0.005000,5
219.790039,2035.063338,0.005000,5
189.184570,2008.465934,0.004000,4
163.828125,2105.267334,0.004000,4
138.725586,2134.948134,0.004000,4
138.725586,2134.948134,0.004000,4
String tested,Total calculation time(milis)
XEqtBpbJ,77
