Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
293.372070,4235.956290,0.003000,3
255.187988,3930.102844,0.004000,4
221.449707,3335.727939,0.003000,3
195.021484,3025.487820,0.004000,4
170.445312,2544.972595,0.005000,5
152.268555,2283.055808,0.004000,4
133.587891,1879.661221,0.004000,4
120.832031,1830.002060,0.003000,3
107.934082,1628.834034,0.003000,3
96.504883,1551.069312,0.005000,5
87.385254,1563.833513,0.004000,4
79.322754,1462.133623,0.004000,4
71.821777,1379.370092,0.004000,4
66.129883,1322.598365,0.003000,3
61.278809,1247.584863,0.004000,4
57.920898,1210.028899,0.003000,3
55.007812,1272.624939,0.005000,5
50.227539,1108.959945,0.003000,3
47.395508,1094.414863,0.004000,4
45.597168,1135.222980,0.004000,4
43.423340,1151.035139,0.004000,4
40.261719,1061.869980,0.004000,4
38.357422,1121.090023,0.005000,5
36.485840,1041.414839,0.005000,5
35.539062,1060.387146,0.002000,2
34.860840,1096.442060,0.004000,4
34.662109,1098.636806,0.003000,3
33.887207,1071.916477,0.004000,4
32.178711,1027.478805,0.004000,4
32.041992,1071.824409,0.003000,3
31.947266,1076.500149,0.005000,5
32.325195,1148.689170,0.003000,3
30.455078,1009.544857,0.004000,4
32.161133,1123.852942,0.004000,4
30.048828,1046.797421,0.003000,3
29.173340,1074.655012,0.004000,4
28.720703,1040.166134,0.004000,4
30.073242,1069.436042,0.004000,4
29.255371,1116.632540,0.007000,7
29.853516,1212.739285,0.004000,4
29.853516,1212.739285,0.004000,4
String tested,Total calculation time(milis)
HowAreYou,197
