Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
273.285156,3627.493881,0.004000,4
242.713379,3403.961305,0.004000,4
215.291016,2916.400661,0.003000,3
190.582520,2842.397487,0.004000,4
167.756348,2401.798544,0.004000,4
147.564453,2072.486080,0.004000,4
130.472656,1849.560776,0.004000,4
118.175293,1731.455112,0.004000,4
104.907715,1527.466581,0.005000,5
95.790527,1440.163641,0.004000,4
88.264648,1358.041289,0.004000,4
82.521973,1305.824713,0.004000,4
76.615723,1256.842077,0.003000,3
72.267578,1263.179379,0.005000,5
68.051270,1169.372860,0.004000,4
65.662598,1190.471609,0.004000,4
62.700684,1197.073984,0.003000,3
58.275879,1080.462465,0.003000,3
54.907227,1023.239440,0.004000,4
53.634766,1155.096096,0.003000,3
50.923340,1102.718244,0.004000,4
48.162109,1025.264736,0.004000,4
46.348633,1076.612830,0.004000,4
44.503418,1061.930652,0.003000,3
42.572754,1036.252519,0.004000,4
41.482422,1084.526058,0.004000,4
40.478027,1037.626470,0.003000,3
39.619629,1062.719087,0.004000,4
36.916992,1000.208930,0.003000,3
36.815918,1088.158985,0.005000,5
35.981934,1077.678873,0.005000,5
35.642578,1078.412289,0.004000,4
33.575195,983.094932,0.003000,3
34.382324,1026.156074,0.004000,4
33.145020,1052.868129,0.003000,3
31.305176,1023.066536,0.003000,3
31.629883,1052.475318,0.004000,4
32.049805,1021.695762,0.004000,4
31.415527,1072.240911,0.003000,3
31.927246,1140.372148,0.004000,4
29.852539,1056.349349,0.003000,3
30.679199,1101.858513,0.004000,4
28.665527,1030.612249,0.003000,3
28.163086,1040.063247,0.004000,4
29.008301,1096.128349,0.004000,4
28.828125,1070.499756,0.004000,4
28.296387,1080.874557,0.005000,5
27.312988,1075.042175,0.004000,4
26.515625,1033.401123,0.003000,3
26.434082,980.191944,0.004000,4
26.434082,980.191944,0.004000,4
String tested,Total calculation time(milis)
VbTHsrIpt,242
