Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
271.104492,3973.236152,0.003000,3
236.699219,3580.666367,0.003000,3
206.251465,2944.656980,0.004000,4
181.246582,2636.536365,0.003000,3
158.497070,2080.879874,0.004000,4
140.476562,1859.346130,0.004000,4
126.042480,1700.671535,0.004000,4
114.404297,1703.921505,0.003000,3
102.875488,1443.464477,0.003000,3
93.878418,1410.089222,0.003000,3
87.166016,1430.965603,0.004000,4
80.228027,1319.038336,0.003000,3
74.412109,1311.294033,0.003000,3
69.332520,1208.974880,0.003000,3
65.405762,1175.492096,0.004000,4
63.108398,1177.760711,0.004000,4
60.232422,1188.236996,0.003000,3
55.975098,1074.525259,0.004000,4
53.237793,1025.876560,0.003000,3
51.863770,1105.399898,0.003000,3
49.833008,1133.839301,0.003000,3
46.988770,1025.333370,0.004000,4
44.811523,1071.064086,0.004000,4
42.905273,1024.500793,0.003000,3
41.270020,1001.823086,0.003000,3
40.402832,1058.318683,0.004000,4
40.094238,1058.246490,0.002000,2
39.729492,1094.866279,0.003000,3
37.771973,1037.292242,0.004000,4
37.157227,1048.179381,0.003000,3
36.431152,1050.894674,0.004000,4
36.379395,1095.873150,0.002000,2
34.410156,989.933334,0.004000,4
35.141602,1043.917449,0.003000,3
33.521484,1037.691921,0.003000,3
32.561035,1092.868345,0.003000,3
32.394043,1071.415531,0.003000,3
33.282715,1089.696928,0.003000,3
31.930176,1065.323738,0.004000,4
32.811035,1143.079038,0.004000,4
30.818359,1062.111538,0.004000,4
31.773926,1172.769691,0.003000,3
29.863770,1087.611812,0.003000,3
28.979492,1065.172431,0.004000,4
29.985352,1099.317168,0.005000,5
30.028320,1144.545096,0.004000,4
29.151855,1097.887584,0.004000,4
28.650879,1152.278993,0.004000,4
27.205566,1046.971903,0.003000,3
27.022949,996.794883,0.004000,4
27.028320,1030.795096,0.003000,3
27.776367,1098.526160,0.003000,3
27.428711,1049.952926,0.005000,5
27.346191,1109.516382,0.003000,3
26.306152,1034.051290,0.004000,4
24.908691,1016.348596,0.003000,3
26.412109,1089.374111,0.004000,4
25.541992,1060.528510,0.005000,5
27.142090,1122.326002,0.003000,3
26.249023,1075.908690,0.005000,5
25.671875,1012.294678,0.003000,3
25.989746,1080.743547,0.003000,3
27.717285,1136.659818,0.003000,3
26.886230,1118.072506,0.002000,2
26.505859,1119.694302,0.004000,4
26.343262,1099.572113,0.005000,5
26.367188,1134.895447,0.004000,4
26.502441,1144.888666,0.004000,4
25.729980,1094.186367,0.004000,4
25.731445,1039.753074,0.003000,3
24.847656,1067.760971,0.003000,3
25.315430,1065.158317,0.003000,3
24.990234,1045.484280,0.003000,3
26.451660,1170.169538,0.004000,4
24.923340,1031.413557,0.003000,3
24.634766,1020.834377,0.004000,4
25.374023,1131.473388,0.004000,4
25.191406,1076.617661,0.005000,5
24.395996,965.531175,0.004000,4
24.562500,997.849609,0.007000,7
24.957031,1098.673935,0.005000,5
24.957031,1098.673935,0.005000,5
String tested,Total calculation time(milis)
mdcBYpoEq,398
