Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.917969,273.376083,0.006000,6
430.249023,513.170409,0.005000,5
414.921875,790.325928,0.005000,5
393.286133,1047.160316,0.005000,5
371.567383,1378.256202,0.006000,6
347.636719,1675.860214,0.004000,4
323.095703,1917.467403,0.005000,5
297.133789,2343.689132,0.005000,5
269.682617,2328.659034,0.005000,5
245.742188,2356.382751,0.004000,4
223.901367,2399.476600,0.004000,4
202.656250,2365.698242,0.005000,5
182.841797,2408.037472,0.004000,4
165.170898,2458.857512,0.004000,4
165.170898,2458.857512,0.004000,4
String tested,Total calculation time(milis)
tAxrZPOes,81
