Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
538.339844,343.337631,0.007000,7
526.171875,615.521240,0.006000,6
508.164062,943.992615,0.007000,7
485.019531,1136.034775,0.006000,6
462.524414,1348.461318,0.016000,16
438.383789,1637.378097,0.005000,5
413.056641,1845.442104,0.006000,6
391.357422,2041.907406,0.006000,6
366.967773,2129.038024,0.007000,7
344.179688,2228.330994,0.005000,5
322.324219,2269.695663,0.006000,6
300.590820,2459.758353,0.006000,6
278.149414,2569.280410,0.005000,5
255.795898,2819.288421,0.004000,4
232.631836,2870.758986,0.005000,5
210.737305,3011.516929,0.005000,5
210.737305,3011.516929,0.005000,5
String tested,Total calculation time(milis)
wBGDMlOfVTJ,120
