Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
288.244629,3236.311739,0.005000,5
251.666504,3038.889269,0.003000,3
219.240234,2466.393459,0.006000,6
193.028809,1974.760401,0.004000,4
172.080078,1716.602962,0.003000,3
154.055176,1662.953499,0.004000,4
137.896973,1547.851202,0.005000,5
124.001465,1428.492674,0.004000,4
110.701660,1323.794294,0.004000,4
100.916992,1282.130805,0.005000,5
91.875488,1168.946899,0.003000,3
85.101562,1110.760193,0.007000,7
79.105957,1078.903324,0.004000,4
74.734863,1087.577652,0.004000,4
69.821777,1028.564428,0.004000,4
65.999512,1018.482910,0.005000,5
61.742188,1029.626892,0.005000,5
56.594238,977.721588,0.004000,4
53.966309,934.222986,0.005000,5
51.564941,1000.648126,0.004000,4
49.381348,999.859945,0.005000,5
45.701172,940.890194,0.004000,4
44.353027,981.286016,0.005000,5
42.923340,880.704572,0.003000,3
41.089844,932.591537,0.004000,4
40.491211,931.175704,0.004000,4
39.289551,884.189110,0.003000,3
38.891113,920.410507,0.004000,4
37.244141,907.668911,0.003000,3
37.643555,975.248923,0.007000,7
36.439941,944.803034,0.004000,4
35.809570,967.826041,0.004000,4
34.348145,867.072643,0.004000,4
34.445801,886.543937,0.020000,20
32.802734,905.478664,0.003000,3
32.525879,915.205385,0.003000,3
32.747559,905.549066,0.004000,4
32.904297,899.398067,0.004000,4
32.127441,987.627802,0.005000,5
33.056152,1008.716085,0.004000,4
30.951172,957.861874,0.004000,4
31.799316,966.957285,0.004000,4
30.556641,977.312222,0.004000,4
29.770508,958.094794,0.004000,4
29.379883,916.845923,0.004000,4
30.444824,998.384651,0.004000,4
27.840332,853.213276,0.005000,5
27.941895,936.480510,0.003000,3
27.935059,972.690607,0.004000,4
26.917969,885.093857,0.003000,3
26.669922,903.929134,0.005000,5
26.555176,916.420784,0.004000,4
27.131348,900.547689,0.004000,4
27.247070,942.823722,0.003000,3
26.443359,922.461636,0.004000,4
24.810059,924.904840,0.003000,3
24.783203,917.414913,0.005000,5
25.115234,914.688869,0.003000,3
25.707520,930.950100,0.003000,3
25.707520,930.950100,0.003000,3
String tested,Total calculation time(milis)
wBGDMlOfVTJ,327
