Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
634.506836,397.510695,0.007000,7
618.891602,672.453094,0.008000,8
596.875000,939.257812,0.006000,6
570.000000,1220.410156,0.006000,6
540.297852,1562.850738,0.013000,13
508.764648,1972.253203,0.005000,5
471.323242,2178.668952,0.005000,5
432.373047,2384.505367,0.005000,5
393.388672,2568.497372,0.005000,5
356.010742,2889.798713,0.005000,5
312.856445,2965.522361,0.006000,6
271.850586,2976.702285,0.005000,5
230.004883,3208.447242,0.005000,5
185.644531,3017.065048,0.004000,4
185.644531,3017.065048,0.004000,4
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,117
