Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.040039,391.594100,0.006000,6
571.225586,663.683486,0.009000,9
550.019531,965.331650,0.008000,8
521.860352,1244.048858,0.009000,9
492.124023,1565.752196,0.007000,7
459.375000,1871.093750,0.008000,8
423.896484,2221.731472,0.007000,7
386.914062,2417.137146,0.008000,8
348.637695,2615.282798,0.008000,8
308.168945,2636.442161,0.007000,7
267.890625,2696.429443,0.004000,4
227.871094,2496.346664,0.006000,6
189.516602,2650.889373,0.005000,5
189.516602,2650.889373,0.005000,5
String tested,Total calculation time(milis)
DhXGuTbVcpMA,119
