Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.946289,295.553756,0.006000,6
477.255859,517.176723,0.006000,6
458.955078,810.822201,0.005000,5
433.012695,1059.331870,0.006000,6
407.993164,1402.759719,0.013000,13
376.513672,1576.615047,0.008000,8
344.545898,1778.309417,0.006000,6
312.753906,2039.876938,0.005000,5
276.118164,2092.695022,0.004000,4
241.337891,2447.819424,0.007000,7
206.992188,2547.789001,0.008000,8
171.010742,2554.300666,0.006000,6
135.947266,2247.637844,0.005000,5
135.947266,2247.637844,0.005000,5
String tested,Total calculation time(milis)
HqOhgBcoiM,111
