Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.089844,452.370834,0.008000,8
664.877930,718.246818,0.008000,8
642.197266,1076.910305,0.007000,7
615.727539,1348.591781,0.007000,7
585.678711,1680.105758,0.024000,24
553.159180,1734.599662,0.007000,7
521.240234,1931.664944,0.010000,10
489.121094,2093.661118,0.008000,8
456.879883,2263.848853,0.008000,8
419.516602,2561.045623,0.008000,8
384.243164,2785.267043,0.007000,7
349.384766,2924.816799,0.009000,9
314.204102,2880.323577,0.006000,6
277.983398,2915.806365,0.007000,7
244.624023,2818.706298,0.006000,6
214.873047,3011.214352,0.007000,7
182.475586,2682.982802,0.004000,4
155.039062,2633.592224,0.005000,5
155.039062,2633.592224,0.005000,5
String tested,Total calculation time(milis)
RKHAWkLCQDimsb,175
