Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.089844,452.370834,0.007000,7
664.023438,754.612732,0.008000,8
639.052734,1201.934719,0.008000,8
608.813477,1803.816772,0.021000,21
571.147461,2496.974349,0.006000,6
526.137695,3294.799399,0.007000,7
478.295898,3807.887053,0.008000,8
428.579102,4431.233001,0.007000,7
373.017578,4820.093441,0.007000,7
317.685547,4751.479244,0.009000,9
262.148438,4844.798279,0.009000,9
207.817383,4473.898292,0.006000,6
207.817383,4473.898292,0.006000,6
String tested,Total calculation time(milis)
RKHAWkLCQDimsb,134
