Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.654297,295.470333,0.005000,5
429.096680,555.287528,0.003000,3
409.838867,966.526771,0.005000,5
381.616211,1472.046065,0.005000,5
350.659180,1882.524467,0.021000,21
316.298828,2376.438046,0.007000,7
275.424805,2794.936728,0.005000,5
234.189453,3113.796139,0.004000,4
190.878906,3264.852524,0.007000,7
147.045898,3009.486175,0.005000,5
147.045898,3009.486175,0.005000,5
String tested,Total calculation time(milis)
TBJalImUZ,88
