Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.813477,412.459350,0.007000,7
618.237305,651.726890,0.008000,8
597.011719,892.437363,0.008000,8
570.620117,1184.820533,0.005000,5
542.509766,1523.876858,0.012000,12
511.215820,1819.371390,0.005000,5
475.791016,2000.448513,0.006000,6
440.297852,2381.503081,0.005000,5
401.147461,2593.654037,0.005000,5
361.503906,2681.820297,0.004000,4
319.375000,2867.187500,0.005000,5
279.282227,2998.752379,0.005000,5
238.154297,3139.464474,0.006000,6
197.319336,3194.230056,0.009000,9
156.376953,2826.033688,0.006000,6
156.376953,2826.033688,0.006000,6
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,132
