Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.813477,412.459350,0.006000,6
617.797852,748.714995,0.007000,7
594.121094,1194.540024,0.007000,7
562.431641,1798.188686,0.006000,6
524.106445,2339.924216,0.020000,20
481.777344,3191.665268,0.007000,7
435.761719,3674.322128,0.005000,5
386.367188,4265.025330,0.005000,5
335.673828,4636.850643,0.005000,5
283.403320,4687.782645,0.005000,5
229.277344,4348.305893,0.007000,7
177.426758,4052.606940,0.005000,5
177.426758,4052.606940,0.005000,5
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,114
