Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.981445,271.448874,0.006000,6
429.501953,488.326168,0.007000,7
412.778320,798.091483,0.006000,6
385.649414,1058.074355,0.005000,5
360.356445,1374.335837,0.015000,15
329.404297,1676.500607,0.006000,6
296.767578,1760.547543,0.007000,7
264.594727,2128.351378,0.006000,6
229.628906,2208.260727,0.005000,5
194.135742,2348.764777,0.006000,6
194.135742,2348.764777,0.006000,6
String tested,Total calculation time(milis)
VbTHsrIpt,91
