Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.631836,360.260940,0.015000,15
523.652344,636.562729,0.008000,8
502.583008,1097.966743,0.007000,7
473.417969,1657.360458,0.008000,8
440.170898,2271.113372,0.017000,17
401.401367,2852.381873,0.006000,6
358.403320,3264.003348,0.006000,6
311.606445,3621.296287,0.006000,6
263.500977,3855.077147,0.006000,6
212.861328,4002.554989,0.005000,5
212.861328,4002.554989,0.005000,5
String tested,Total calculation time(milis)
WYoCRnrbkQe,105
