Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
343.833008,200.200629,0.008000,8
334.912109,428.996181,0.007000,7
318.608398,672.916961,0.005000,5
294.912109,948.722744,0.005000,5
271.733398,1289.719939,0.005000,5
242.631836,1506.501174,0.005000,5
214.580078,1816.815853,0.004000,4
181.870117,1912.371802,0.004000,4
150.283203,1994.744015,0.006000,6
118.647461,1775.660872,0.006000,6
118.647461,1775.660872,0.006000,6
String tested,Total calculation time(milis)
cUlqThj,76
