Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.994141,459.632778,0.007000,7
617.163086,762.020278,0.007000,7
592.402344,1084.658432,0.008000,8
563.173828,1429.379940,0.007000,7
531.274414,1800.573134,0.007000,7
496.879883,1948.712134,0.010000,10
460.122070,2126.694083,0.006000,6
422.495117,2474.389625,0.007000,7
381.318359,2745.820522,0.006000,6
341.767578,2977.930355,0.006000,6
301.445312,2883.555603,0.005000,5
260.512695,3021.368003,0.006000,6
217.016602,2876.792693,0.006000,6
175.595703,2981.481075,0.005000,5
175.595703,2981.481075,0.005000,5
String tested,Total calculation time(milis)
fuvsirPdjYDae,127
