Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
633.994141,459.632778,0.008000,8
617.836914,790.877700,0.006000,6
594.531250,1176.831055,0.007000,7
565.883789,1549.707198,0.006000,6
531.928711,2239.004683,0.018000,18
493.354492,2847.878242,0.006000,6
450.805664,3640.317702,0.008000,8
401.123047,3849.910641,0.008000,8
351.860352,4156.353545,0.008000,8
300.385742,4796.775031,0.007000,7
247.885742,4712.082648,0.004000,4
192.182617,3881.906104,0.004000,4
192.182617,3881.906104,0.004000,4
String tested,Total calculation time(milis)
fuvsirPdjYDae,121
