Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.807617,432.791114,0.008000,8
667.055664,684.153152,0.007000,7
645.068359,970.405483,0.007000,7
619.360352,1214.385772,0.009000,9
591.225586,1402.843642,0.020000,20
564.140625,1588.031006,0.008000,8
534.360352,1796.856475,0.009000,9
504.003906,2166.195297,0.008000,8
471.279297,2283.910275,0.009000,9
437.319336,2499.503493,0.008000,8
401.645508,2774.196601,0.007000,7
365.175781,2680.828476,0.006000,6
330.917969,2722.399521,0.006000,6
298.149414,2911.272597,0.006000,6
265.546875,3036.029053,0.005000,5
231.884766,2898.986721,0.009000,9
199.790039,3048.539901,0.005000,5
169.399414,2895.684218,0.005000,5
138.906250,2604.077148,0.005000,5
138.906250,2604.077148,0.005000,5
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,183
