Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.186523,382.674193,0.008000,8
571.250000,642.187500,0.008000,8
551.005859,933.949184,0.008000,8
523.266602,1281.565642,0.007000,7
493.710938,1625.389099,0.007000,7
461.694336,2047.568679,0.008000,8
424.038086,2245.363784,0.007000,7
386.025391,2693.186855,0.008000,8
344.140625,2908.245850,0.008000,8
303.173828,3035.825253,0.008000,8
259.843750,2932.202148,0.005000,5
259.843750,2932.202148,0.005000,5
String tested,Total calculation time(milis)
lGPTmRHveSbg,105
