Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.186523,382.674193,0.007000,7
571.767578,643.457699,0.007000,7
550.185547,1041.176510,0.009000,9
521.098633,1514.173865,0.007000,7
486.484375,2178.167725,0.020000,20
448.750000,2753.906250,0.007000,7
404.882812,3288.560486,0.009000,9
357.060547,3811.379147,0.005000,5
305.712891,3968.144131,0.005000,5
257.680664,4132.169509,0.006000,6
207.548828,3912.546444,0.005000,5
207.548828,3912.546444,0.005000,5
String tested,Total calculation time(milis)
lGPTmRHveSbg,110
