Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
344.057617,192.080665,0.004000,4
336.528320,382.332206,0.004000,4
321.645508,620.192695,0.005000,5
301.044922,898.517513,0.005000,5
280.458984,1136.703396,0.016000,16
257.353516,1452.957058,0.006000,6
231.362305,1615.185142,0.004000,4
205.815430,1723.651481,0.004000,4
182.167969,1946.764755,0.004000,4
156.254883,2075.671363,0.004000,4
156.254883,2075.671363,0.004000,4
String tested,Total calculation time(milis)
prRENBd,76
