Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.116211,334.326339,0.006000,6
475.644531,574.877548,0.006000,6
457.363281,877.422714,0.006000,6
429.438477,1139.772582,0.005000,5
400.957031,1622.130966,0.015000,15
367.133789,1830.114913,0.005000,5
330.791016,2073.593044,0.005000,5
294.497070,2402.969718,0.006000,6
259.184570,2553.778434,0.005000,5
220.161133,2706.370521,0.007000,7
179.423828,2483.164120,0.006000,6
142.978516,2545.132351,0.004000,4
142.978516,2545.132351,0.004000,4
String tested,Total calculation time(milis)
HJbFYeySsu,104
