Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.116211,334.326339,0.005000,5
475.068359,628.706264,0.008000,8
454.047852,1056.222320,0.008000,8
424.829102,1615.009856,0.006000,6
391.416016,2183.639431,0.012000,12
353.090820,2638.249564,0.005000,5
312.622070,3024.716544,0.005000,5
269.619141,3437.452602,0.006000,6
222.021484,3301.382351,0.006000,6
177.866211,3284.460616,0.005000,5
177.866211,3284.460616,0.005000,5
String tested,Total calculation time(milis)
HJbFYeySsu,84
